1	3	90.090543	58.324955	41.371068	82.752525	0.226170	0.505981	0.832680	0.656354	0.180382	7.000000	0.086486	0.028476	9.000000	0.058794	0.715976	6.000000	0.023672	0.908194	9.000000	0.035611	0.242677	7.000000	0.038629	0.452594	10.000000	0.077111	0.074465	10.000000	0.012452	1.201145	7.000000	0.013795	0.457424	9.000000	0.015959	0.246773	6.000000	0.011011	1.061017	9.000000	0.010941	1.212272	10.000000	0.088197
2	1	14.712188	18.366828	71.627315	8.270102	0.777787	0.243702	0.544741	0.911610	0.765967	9.000000	0.022808	0.608180	6.000000	0.016414	0.164391	10.000000	0.010076	0.177438	10.000000	0.235697	0.922570	6.000000	0.021571	1.113723	6.000000	0.259261	1.216804	10.000000	0.010465	0.876832	7.000000	0.020176	0.549407	10.000000	0.017562	0.110387	7.000000	0.162482	1.289616	8.000000	0.011852	0.229865	9.000000	0.108093
3	2	31.282653	23.298947	31.253480	57.359945	0.560557	0.827690	0.249053	0.595372	0.458509	10.000000	0.018847	0.311464	7.000000	0.054680	0.546741	8.000000	0.011343	0.551438	9.000000	0.010096	1.263909	10.000000	0.011051	0.106391	10.000000	0.012935	0.531346	8.000000	0.010061	0.434676	6.000000	0.041792	0.346891	7.000000	0.030352	0.505539	8.000000	0.010939	0.189844	9.000000	0.018960	0.796268	10.000000	0.010040
4	3	39.263274	62.369043	5.468401	13.339919	0.238921	0.880565	0.475082	0.950174	0.261268	10.000000	0.010347	0.730225	6.000000	0.040586	0.048755	10.000000	0.010472	0.278373	9.000000	0.013830	0.621331	9.000000	0.013564	0.577805	6.000000	0.011162	0.762531	9.000000	0.025266	0.486442	8.000000	0.010833	0.755389	9.000000	0.076675	0.913526	7.000000	0.012083	0.577891	8.000000	0.010369	1.332360	9.000000	0.010824
5	3	17.768335	88.817439	17.253421	51.967148	0.655928	0.425683	0.516854	0.294152	0.960424	9.000000	0.023882	0.390553	6.000000	0.013115	0.051349	10.000000	0.012300	0.852119	8.000000	0.020814	0.528731	10.000000	0.110798	0.120846	6.000000	0.018442	0.859431	7.000000	0.090797	0.996535	6.000000	0.029300	1.008996	6.000000	0.030577	0.787380	7.000000	0.028539	0.676044	7.000000	0.010645	0.575905	8.000000	0.013688
6	17	44.820647	57.135674	25.343324	7.680094	0.811115	0.591402	0.638116	0.338984	0.102479	8.000000	0.015451	0.301929	10.000000	0.035423	1.178100	6.000000	0.017577	0.498629	8.000000	0.012392	0.122445	7.000000	0.032965	0.961843	6.000000	0.024819	0.892002	6.000000	0.010524	0.319363	10.000000	0.012358	0.439548	7.000000	0.013176	1.136053	8.000000	0.015930	0.832019	9.000000	0.013132	0.714488	6.000000	0.016898
7	4	75.119691	50.015365	56.048295	82.576104	0.535261	0.299750	0.381708	0.599849	0.024695	10.000000	0.015220	0.254667	9.000000	0.154968	0.236751	6.000000	0.011805	1.307493	9.000000	0.012099	1.154064	10.000000	0.011129	0.055572	8.000000	0.013994	0.691418	9.000000	0.072206	0.624572	7.000000	0.020476	0.992562	7.000000	0.021633	0.245133	9.000000	0.115174	0.026258	10.000000	0.010433	0.048268	9.000000	0.010908
8	17	53.442133	61.612674	90.362857	99.750140	0.461702	0.353541	0.814168	0.240916	1.238942	10.000000	0.026556	1.310830	8.000000	0.037659	0.368419	6.000000	0.012700	0.306248	7.000000	0.041399	0.606529	7.000000	0.040515	0.149937	6.000000	0.051623	0.580781	6.000000	0.010969	0.896785	8.000000	0.028346	0.553891	6.000000	0.019146	1.137493	7.000000	0.013071	0.275152	9.000000	0.023062	0.807795	10.000000	0.010061
9	2	39.799204	10.742533	57.398133	46.767077	0.399202	0.457867	0.184470	0.252455	0.738838	6.000000	0.242113	1.333905	7.000000	0.021217	0.871409	9.000000	0.022109	1.062715	8.000000	0.016993	1.275089	8.000000	0.022370	1.209348	7.000000	0.012213	0.170534	6.000000	0.262476	1.214328	8.000000	0.020022	0.416050	10.000000	0.215447	0.162644	7.000000	0.067616	0.818366	8.000000	0.062599	0.336464	6.000000	0.074788
10	3	12.334136	60.778483	20.652031	88.194213	0.708088	0.149295	0.102903	0.910524	0.458155	8.000000	0.026103	0.405619	7.000000	0.199988	0.104136	10.000000	0.019702	0.484791	6.000000	0.018990	0.665311	7.000000	0.018497	0.958905	6.000000	0.026402	1.241798	9.000000	0.049370	1.200233	9.000000	0.010897	0.344416	9.000000	0.012126	0.740393	6.000000	0.068970	0.784376	7.000000	0.024936	0.148243	7.000000	0.010839
